,Score,Rating,Total_shot,Woodwork,Shot_onTarget,Shot_offTarget,Shot_blocked,Possession,Touches,Pass%,Total_pass,Acc_pass,Key_pass,Dribble_won,Dribble_att,Dribbled_past,Dribble%,Aerial_won,Aerial_won%,Off_aerial,Def_aerial,Succ_Tack,Tack_att,Was_dribbled,Tack%,Clearance,Intercept,Corner,Corner%,Disposs,Err,Foul,Offside,W,D,L,Result
1261,2,0.5699999999999994,1,0,1,-1,1,-6.0,-42,-2,-40,-42,0,2,2,-2,7,-12,-32,2,-2,5,3,-2,11,9,-1,-4,-10,-5,0,0,1,1,0,0,W
1262,1,0.25,0,0,-1,3,-2,4.400000000000006,44,3,51,50,-2,-4,-6,4,-3,9,26,-19,19,-3,1,4,-13,23,-3,2,27,5,0,-2,2,1,0,0,W
1263,2,0.5300000000000002,38,1,17,10,11,50.0,458,18,477,476,30,1,1,-1,3,-4,-16,6,-6,1,0,-1,4,-26,-10,15,-37,-1,0,1,0,1,0,0,W
1264,1,0.7800000000000002,2,0,2,-1,1,-13.400000000000006,-121,-1,-149,-133,3,-1,3,1,-20,9,70,3,-3,0,1,1,-3,22,10,-5,36,-4,0,-7,-1,1,0,0,W
1265,1,0.33999999999999986,7,0,2,3,2,-0.20000000000000284,-8,-3,4,-13,6,0,-7,0,28,0,0,0,0,5,5,0,6,-8,1,2,50,2,0,-2,3,1,0,0,W
1266,0,-0.10000000000000053,2,0,-3,2,3,-14.0,-138,-6,-127,-127,1,-2,8,2,-25,4,12,0,0,-11,-9,2,-11,0,1,7,37,1,0,1,3,0,1,0,D
1267,0,0.04999999999999982,8,0,3,4,1,6.599999999999994,53,6,36,48,8,1,5,-1,-13,6,10,0,0,0,-1,-1,3,-5,-1,5,53,-4,0,-2,0,0,1,0,D
1268,0,0.0,3,-1,4,-2,1,5.0,56,2,44,45,2,5,13,-5,-9,4,12,2,-2,-7,-12,-5,2,-16,3,-1,-67,-1,0,-8,2,0,1,0,D
1269,2,0.5699999999999994,5,0,3,2,0,-22.599999999999994,-183,-10,-195,-198,2,9,10,-9,10,1,4,11,-11,-5,-14,-9,11,-3,-1,4,-86,4,0,6,5,1,0,0,W
1270,0,0.10999999999999943,9,0,5,0,4,42.800000000000004,478,13,471,472,7,7,12,-7,-3,6,28,-4,4,0,-7,-7,14,-19,-12,3,-30,-5,1,-9,0,0,1,0,D
